Asset name,Label,Group,FaceKind,Width,Height,PNG path
duat_face_arrow1,Arrow I,faces,arrow1,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_arrow1.imageset/duat_face_arrow1.png
duat_face_arrow2,Arrow II,faces,arrow2,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_arrow2.imageset/duat_face_arrow2.png
duat_face_arrow3,Arrow III,faces,arrow3,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_arrow3.imageset/duat_face_arrow3.png
duat_face_bowSmack,Bow Smack,faces,bowSmack,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_bowSmack.imageset/duat_face_bowSmack.png
duat_face_overhead,Overhead,faces,overhead,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_overhead.imageset/duat_face_overhead.png
duat_face_sideSwing,Side Swing,faces,sideSwing,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_sideSwing.imageset/duat_face_sideSwing.png
duat_face_swiftSlash,Swift Slash,faces,swiftSlash,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_swiftSlash.imageset/duat_face_swiftSlash.png
duat_face_daggerThrow,Dagger Throw,faces,daggerThrow,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_daggerThrow.imageset/duat_face_daggerThrow.png
duat_face_runeFire,Fire Rune,faces,runeFire,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_runeFire.imageset/duat_face_runeFire.png
duat_face_runeFrost,Frost Rune,faces,runeFrost,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_runeFrost.imageset/duat_face_runeFrost.png
duat_face_runeLife,Life Rune,faces,runeLife,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_runeLife.imageset/duat_face_runeLife.png
duat_face_runeArcane,Arcane Rune,faces,runeArcane,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_runeArcane.imageset/duat_face_runeArcane.png
duat_face_wandZap,Wand Zap,faces,wandZap,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_wandZap.imageset/duat_face_wandZap.png
duat_face_channel,Channel,faces,channel,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_channel.imageset/duat_face_channel.png
duat_face_block,Block,faces,block,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_block.imageset/duat_face_block.png
duat_face_evade,Evade,faces,evade,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_evade.imageset/duat_face_evade.png
duat_face_heal,Heal,faces,heal,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_heal.imageset/duat_face_heal.png
duat_face_focus,Focus,faces,focus,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_focus.imageset/duat_face_focus.png
duat_face_energize,Energize,faces,energize,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_energize.imageset/duat_face_energize.png
duat_face_bomb,Bomb,faces,bomb,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_bomb.imageset/duat_face_bomb.png
duat_face_poison,Poison,faces,poison,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_face_poison.imageset/duat_face_poison.png
duat_ui_panel_large,Large papyrus panel,ui,,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_panel_large.imageset/duat_ui_panel_large.png
duat_ui_card_small,Small papyrus card,ui,,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_card_small.imageset/duat_ui_card_small.png
duat_ui_button_primary_normal,Primary action button — normal,ui,,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_button_primary_normal.imageset/duat_ui_button_primary_normal.png
duat_ui_cartouche,Cartouche label,ui,,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_cartouche.imageset/duat_ui_cartouche.png
duat_ui_button_primary_pressed,Primary action button — pressed,ui,,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_button_primary_pressed.imageset/duat_ui_button_primary_pressed.png
duat_ui_button_primary_disabled,Primary action button — disabled,ui,,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_button_primary_disabled.imageset/duat_ui_button_primary_disabled.png
duat_ui_button_primary_highlighted,Primary action button — highlighted,ui,,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_button_primary_highlighted.imageset/duat_ui_button_primary_highlighted.png
duat_ui_die_empty,Dice frame — empty,ui,,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_die_empty.imageset/duat_ui_die_empty.png
duat_ui_die_ready,Dice frame — ready,ui,,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_die_ready.imageset/duat_ui_die_ready.png
duat_ui_die_rolling,Dice frame — rolling,ui,,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_die_rolling.imageset/duat_ui_die_rolling.png
duat_ui_die_selected,Dice frame — selected,ui,,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_die_selected.imageset/duat_ui_die_selected.png
duat_ui_die_held,Dice frame — held,ui,,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_die_held.imageset/duat_ui_die_held.png
duat_ui_die_spent,Dice frame — spent,ui,,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_die_spent.imageset/duat_ui_die_spent.png
duat_ui_die_critical,Dice frame — critical,ui,,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_die_critical.imageset/duat_ui_die_critical.png
duat_ui_button_secondary_normal,Secondary button — normal,ui,,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_button_secondary_normal.imageset/duat_ui_button_secondary_normal.png
duat_ui_button_secondary_pressed,Secondary button — pressed,ui,,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_button_secondary_pressed.imageset/duat_ui_button_secondary_pressed.png
duat_ui_button_secondary_disabled,Secondary button — disabled,ui,,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_button_secondary_disabled.imageset/duat_ui_button_secondary_disabled.png
duat_ui_button_secondary_selected,Secondary button — selected,ui,,2146,733,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_button_secondary_selected.imageset/duat_ui_button_secondary_selected.png
duat_ui_rarity_clay,Rarity frame — clay,ui,,1254,1254,ios/DiceRoller/Assets.xcassets/DuatUI/duat_ui_rarity_clay.imageset/duat_ui_rarity_clay.png
